symptom_name;disease_common_name
Hearing Loss;chronic kidney failure
Hearing Loss;systemic lupus erythematosus
Hearing Loss;type 1 diabetes mellitus
Hearing Loss;hypothyroidism
Hearing Loss;bipolar disorder
Hearing Loss;endogenous depression
Hearing Loss;schizophrenia
Hearing Loss;bone cancer
Hearing Loss;adrenal gland cancer
Hearing Loss;testicular cancer
Hearing Loss;urinary bladder cancer
Hearing Loss;Paget's disease of bone
Hearing Loss;celiac disease
Hearing Loss;Behcet's disease
Hearing Loss;cleft lip
Hearing Loss;intracranial aneurysm
Hearing Loss;focal segmental glomerulosclerosis
Hearing Loss;attention deficit hyperactivity disorder
Hearing Loss;autistic disorder
Hearing Loss;otosclerosis
Hearing Loss;Fuchs' endothelial dystrophy
Hearing Loss, Conductive;acquired immunodeficiency syndrome
Hearing Loss, Conductive;osteoporosis
Hearing Loss, Conductive;rheumatoid arthritis
Hearing Loss, Conductive;type 2 diabetes mellitus
Hearing Loss, Conductive;leprosy
Hearing Loss, Conductive;uterine fibroid
Hearing Loss, Conductive;head and neck cancer
Hearing Loss, Conductive;brain cancer
Hearing Loss, Conductive;meningioma
Hearing Loss, Conductive;ankylosing spondylitis
Hearing Loss, Conductive;epilepsy syndrome
Hearing Loss, Conductive;migraine
Hearing Loss, Conductive;chronic kidney failure
Hearing Loss, Conductive;systemic lupus erythematosus
Hearing Loss, Conductive;hypothyroidism
Hearing Loss, Conductive;bone cancer
Hearing Loss, Conductive;testicular cancer
Hearing Loss, Conductive;peripheral nervous system neoplasm
Hearing Loss, Conductive;vascular cancer
Hearing Loss, Conductive;Paget's disease of bone
Hearing Loss, Conductive;cleft lip
Hearing Loss, Conductive;autistic disorder
Hearing Loss, Conductive;otosclerosis
Hearing Loss, Conductive;salivary gland cancer
Hearing Loss, Sensorineural;acquired immunodeficiency syndrome
Hearing Loss, Sensorineural;breast cancer
Hearing Loss, Sensorineural;skin cancer
Hearing Loss, Sensorineural;osteoporosis
Hearing Loss, Sensorineural;rheumatoid arthritis
Hearing Loss, Sensorineural;Alzheimer's disease
Hearing Loss, Sensorineural;coronary artery disease
Hearing Loss, Sensorineural;hypertension
Hearing Loss, Sensorineural;systemic scleroderma
Hearing Loss, Sensorineural;vitiligo
Hearing Loss, Sensorineural;type 2 diabetes mellitus
Hearing Loss, Sensorineural;metabolic syndrome X
Hearing Loss, Sensorineural;obesity
Hearing Loss, Sensorineural;leprosy
Hearing Loss, Sensorineural;hepatitis B
Hearing Loss, Sensorineural;malaria
Hearing Loss, Sensorineural;malignant glioma
Hearing Loss, Sensorineural;melanoma
Hearing Loss, Sensorineural;retroperitoneal cancer
Hearing Loss, Sensorineural;rectum cancer
Hearing Loss, Sensorineural;stomach cancer
Hearing Loss, Sensorineural;liver cancer
Hearing Loss, Sensorineural;ovarian cancer
Hearing Loss, Sensorineural;head and neck cancer
Hearing Loss, Sensorineural;larynx cancer
Hearing Loss, Sensorineural;brain cancer
Hearing Loss, Sensorineural;meningioma
Hearing Loss, Sensorineural;spinal cancer
Hearing Loss, Sensorineural;thymus cancer
Hearing Loss, Sensorineural;prostate cancer
Hearing Loss, Sensorineural;kidney cancer
Hearing Loss, Sensorineural;ankylosing spondylitis
Hearing Loss, Sensorineural;ulcerative colitis
Hearing Loss, Sensorineural;Crohn's disease
Hearing Loss, Sensorineural;asthma
Hearing Loss, Sensorineural;multiple sclerosis
Hearing Loss, Sensorineural;Parkinson's disease
Hearing Loss, Sensorineural;epilepsy syndrome
Hearing Loss, Sensorineural;migraine
Hearing Loss, Sensorineural;amyotrophic lateral sclerosis
Hearing Loss, Sensorineural;Graves' disease
Hearing Loss, Sensorineural;chronic kidney failure
Hearing Loss, Sensorineural;Kawasaki disease
Hearing Loss, Sensorineural;anemia
Hearing Loss, Sensorineural;systemic lupus erythematosus
Hearing Loss, Sensorineural;type 1 diabetes mellitus
Hearing Loss, Sensorineural;hypothyroidism
Hearing Loss, Sensorineural;panic disorder
Hearing Loss, Sensorineural;bipolar disorder
Hearing Loss, Sensorineural;endogenous depression
Hearing Loss, Sensorineural;schizophrenia
Hearing Loss, Sensorineural;polycystic ovary syndrome
Hearing Loss, Sensorineural;germ cell cancer
Hearing Loss, Sensorineural;bone cancer
Hearing Loss, Sensorineural;adrenal gland cancer
Hearing Loss, Sensorineural;testicular cancer
Hearing Loss, Sensorineural;ocular cancer
Hearing Loss, Sensorineural;peripheral nervous system neoplasm
Hearing Loss, Sensorineural;vascular cancer
Hearing Loss, Sensorineural;Paget's disease of bone
Hearing Loss, Sensorineural;psoriatic arthritis
Hearing Loss, Sensorineural;sclerosing cholangitis
Hearing Loss, Sensorineural;celiac disease
Hearing Loss, Sensorineural;pancreatitis
Hearing Loss, Sensorineural;Behcet's disease
Hearing Loss, Sensorineural;cleft lip
Hearing Loss, Sensorineural;dental caries
Hearing Loss, Sensorineural;idiopathic pulmonary fibrosis
Hearing Loss, Sensorineural;intracranial aneurysm
Hearing Loss, Sensorineural;Creutzfeldt-Jakob disease
Hearing Loss, Sensorineural;glaucoma
Hearing Loss, Sensorineural;age related macular degeneration
Hearing Loss, Sensorineural;IgA glomerulonephritis
Hearing Loss, Sensorineural;focal segmental glomerulosclerosis
Hearing Loss, Sensorineural;dilated cardiomyopathy
Hearing Loss, Sensorineural;abdominal aortic aneurysm
Hearing Loss, Sensorineural;thoracic aortic aneurysm
Hearing Loss, Sensorineural;attention deficit hyperactivity disorder
Hearing Loss, Sensorineural;autistic disorder
Hearing Loss, Sensorineural;otosclerosis
Hearing Loss, Sensorineural;refractive error
Hearing Loss, Sensorineural;salivary gland cancer
Sleep Disorders;acquired immunodeficiency syndrome
Sleep Disorders;breast cancer
Sleep Disorders;skin cancer
Sleep Disorders;osteoporosis
Sleep Disorders;rheumatoid arthritis
Sleep Disorders;Alzheimer's disease
Sleep Disorders;coronary artery disease
Sleep Disorders;atherosclerosis
Sleep Disorders;hypertension
Sleep Disorders;systemic scleroderma
Sleep Disorders;type 2 diabetes mellitus
Sleep Disorders;metabolic syndrome X
Sleep Disorders;obesity
Sleep Disorders;malaria
Sleep Disorders;malignant glioma
Sleep Disorders;melanoma
Sleep Disorders;esophageal cancer
Sleep Disorders;pancreatic cancer
Sleep Disorders;ovarian cancer
Sleep Disorders;head and neck cancer
Sleep Disorders;hematologic cancer
Sleep Disorders;brain cancer
Sleep Disorders;meningioma
Sleep Disorders;spinal cancer
Sleep Disorders;uterine cancer
Sleep Disorders;prostate cancer
Sleep Disorders;kidney cancer
Sleep Disorders;ankylosing spondylitis
Sleep Disorders;ulcerative colitis
Sleep Disorders;Crohn's disease
Sleep Disorders;asthma
Sleep Disorders;chronic obstructive pulmonary disease
Sleep Disorders;multiple sclerosis
Sleep Disorders;Parkinson's disease
Sleep Disorders;epilepsy syndrome
Sleep Disorders;migraine
Sleep Disorders;amyotrophic lateral sclerosis
Sleep Disorders;restless legs syndrome
Sleep Disorders;Graves' disease
Sleep Disorders;chronic kidney failure
Sleep Disorders;anemia
Sleep Disorders;systemic lupus erythematosus
Sleep Disorders;alopecia areata
Sleep Disorders;type 1 diabetes mellitus
Sleep Disorders;hypothyroidism
Sleep Disorders;panic disorder
Sleep Disorders;bipolar disorder
Sleep Disorders;endogenous depression
Sleep Disorders;schizophrenia
Sleep Disorders;polycystic ovary syndrome
Sleep Disorders;bone cancer
Sleep Disorders;peripheral nervous system neoplasm
Sleep Disorders;psoriatic arthritis
Sleep Disorders;celiac disease
Sleep Disorders;Behcet's disease
Sleep Disorders;cleft lip
Sleep Disorders;periodontitis
Sleep Disorders;dental caries
Sleep Disorders;idiopathic pulmonary fibrosis
Sleep Disorders;Creutzfeldt-Jakob disease
Sleep Disorders;atopic dermatitis
Sleep Disorders;attention deficit hyperactivity disorder
Sleep Disorders;autistic disorder
Sleep Disorders;primary biliary cirrhosis
Sleep Disorders;Gilles de la Tourette syndrome
Sleep Disorders;narcolepsy
Sleep Disorders;conduct disorder
Sleep Deprivation;acquired immunodeficiency syndrome
Sleep Deprivation;breast cancer
Sleep Deprivation;skin cancer
Sleep Deprivation;rheumatoid arthritis
Sleep Deprivation;Alzheimer's disease
Sleep Deprivation;coronary artery disease
Sleep Deprivation;hypertension
Sleep Deprivation;type 2 diabetes mellitus
Sleep Deprivation;metabolic syndrome X
Sleep Deprivation;obesity
Sleep Deprivation;brain cancer
Sleep Deprivation;meningioma
Sleep Deprivation;prostate cancer
Sleep Deprivation;Crohn's disease
Sleep Deprivation;asthma
Sleep Deprivation;multiple sclerosis
Sleep Deprivation;Parkinson's disease
Sleep Deprivation;epilepsy syndrome
Sleep Deprivation;migraine
Sleep Deprivation;restless legs syndrome
Sleep Deprivation;Graves' disease
Sleep Deprivation;chronic kidney failure
Sleep Deprivation;anemia
Sleep Deprivation;systemic lupus erythematosus
Sleep Deprivation;type 1 diabetes mellitus
Sleep Deprivation;hypothyroidism
Sleep Deprivation;panic disorder
Sleep Deprivation;bipolar disorder
Sleep Deprivation;endogenous depression
Sleep Deprivation;schizophrenia
Sleep Deprivation;Creutzfeldt-Jakob disease
Sleep Deprivation;gestational diabetes
Sleep Deprivation;atopic dermatitis
Sleep Deprivation;attention deficit hyperactivity disorder
Sleep Deprivation;autistic disorder
Sleep Deprivation;narcolepsy
Oral Manifestations;skin cancer
Oral Manifestations;osteoporosis
Oral Manifestations;rheumatoid arthritis
Oral Manifestations;systemic scleroderma
Oral Manifestations;leprosy
Oral Manifestations;uterine fibroid
Oral Manifestations;head and neck cancer
Oral Manifestations;mediastinal cancer
Oral Manifestations;ankylosing spondylitis
Oral Manifestations;ulcerative colitis
Oral Manifestations;Crohn's disease
Oral Manifestations;multiple sclerosis
Oral Manifestations;Parkinson's disease
Oral Manifestations;epilepsy syndrome
Oral Manifestations;amyotrophic lateral sclerosis
Oral Manifestations;chronic kidney failure
Oral Manifestations;Kawasaki disease
Oral Manifestations;anemia
Oral Manifestations;systemic lupus erythematosus
Oral Manifestations;type 1 diabetes mellitus
Oral Manifestations;hypothyroidism
Oral Manifestations;schizophrenia
Oral Manifestations;bone cancer
Oral Manifestations;adrenal gland cancer
Oral Manifestations;testicular cancer
Oral Manifestations;ocular cancer
Oral Manifestations;peripheral nervous system neoplasm
Oral Manifestations;Paget's disease of bone
Oral Manifestations;celiac disease
Oral Manifestations;Behcet's disease
Oral Manifestations;cleft lip
Oral Manifestations;periodontitis
Oral Manifestations;dental caries
Diarrhea;acquired immunodeficiency syndrome
Diarrhea;breast cancer
Diarrhea;colon cancer
Diarrhea;skin cancer
Diarrhea;osteoporosis
Diarrhea;rheumatoid arthritis
Diarrhea;Alzheimer's disease
Diarrhea;coronary artery disease
Diarrhea;hypertension
Diarrhea;systemic scleroderma
Diarrhea;vitiligo
Diarrhea;type 2 diabetes mellitus
Diarrhea;metabolic syndrome X
Diarrhea;obesity
Diarrhea;leprosy
Diarrhea;hepatitis B
Diarrhea;malaria
Diarrhea;uterine fibroid
Diarrhea;malignant glioma
Diarrhea;melanoma
Diarrhea;retroperitoneal cancer
Diarrhea;esophageal cancer
Diarrhea;rectum cancer
Diarrhea;stomach cancer
Diarrhea;liver cancer
Diarrhea;pancreatic cancer
Diarrhea;ovarian cancer
Diarrhea;head and neck cancer
Diarrhea;larynx cancer
Diarrhea;hematologic cancer
Diarrhea;brain cancer
Diarrhea;spinal cancer
Diarrhea;mediastinal cancer
Diarrhea;thymus cancer
Diarrhea;uterine cancer
Diarrhea;prostate cancer
Diarrhea;kidney cancer
Diarrhea;ankylosing spondylitis
Diarrhea;ulcerative colitis
Diarrhea;Crohn's disease
Diarrhea;asthma
Diarrhea;chronic obstructive pulmonary disease
Diarrhea;multiple sclerosis
Diarrhea;Parkinson's disease
Diarrhea;epilepsy syndrome
Diarrhea;migraine
Diarrhea;amyotrophic lateral sclerosis
Diarrhea;Graves' disease
Diarrhea;chronic kidney failure
Diarrhea;Kawasaki disease
Diarrhea;anemia
Diarrhea;systemic lupus erythematosus
Diarrhea;type 1 diabetes mellitus
Diarrhea;hypothyroidism
Diarrhea;panic disorder
Diarrhea;bipolar disorder
Diarrhea;endogenous depression
Diarrhea;schizophrenia
Diarrhea;polycystic ovary syndrome
Diarrhea;germ cell cancer
Diarrhea;malignant mesothelioma
Diarrhea;bone cancer
Diarrhea;bile duct cancer
Diarrhea;gallbladder cancer
Diarrhea;appendix cancer
Diarrhea;jejunal cancer
Diarrhea;adrenal gland cancer
Diarrhea;testicular cancer
Diarrhea;vascular cancer
Diarrhea;vulva cancer
Diarrhea;urinary bladder cancer
Diarrhea;Paget's disease of bone
Diarrhea;psoriatic arthritis
Diarrhea;gout
Diarrhea;sclerosing cholangitis
Diarrhea;celiac disease
Diarrhea;pancreatitis
Diarrhea;Behcet's disease
Diarrhea;dental caries
Diarrhea;idiopathic pulmonary fibrosis
Diarrhea;intracranial aneurysm
Diarrhea;glaucoma
Diarrhea;IgA glomerulonephritis
Diarrhea;dilated cardiomyopathy
Diarrhea;abdominal aortic aneurysm
Diarrhea;thoracic aortic aneurysm
Diarrhea;atopic dermatitis
Diarrhea;attention deficit hyperactivity disorder
Diarrhea;autistic disorder
Diarrhea;primary biliary cirrhosis
Hyperoxia;breast cancer
Hyperoxia;colon cancer
Hyperoxia;Alzheimer's disease
Hyperoxia;coronary artery disease
Hyperoxia;atherosclerosis
Hyperoxia;hypertension
Hyperoxia;obesity
Hyperoxia;malignant glioma
Hyperoxia;head and neck cancer
Hyperoxia;larynx cancer
Hyperoxia;brain cancer
Hyperoxia;meningioma
Hyperoxia;prostate cancer
Hyperoxia;asthma
Hyperoxia;chronic obstructive pulmonary disease
Hyperoxia;epilepsy syndrome
Hyperoxia;chronic kidney failure
Hyperoxia;anemia
Hyperoxia;type 1 diabetes mellitus
Hyperoxia;hypothyroidism
Hyperoxia;panic disorder
Hyperoxia;urinary bladder cancer
Hyperoxia;idiopathic pulmonary fibrosis
Hyperoxia;glaucoma
Hyperoxia;dilated cardiomyopathy
Hyperoxia;otosclerosis
Sneezing;brain cancer
Sneezing;asthma
Sneezing;chronic obstructive pulmonary disease
Sneezing;chronic kidney failure
Sneezing;endogenous depression
Sneezing;intracranial aneurysm
Sneezing;thoracic aortic aneurysm
Sneezing;Gilles de la Tourette syndrome
Asthenia;acquired immunodeficiency syndrome
Asthenia;breast cancer
Asthenia;colon cancer
Asthenia;skin cancer
Asthenia;osteoporosis
Asthenia;rheumatoid arthritis
Asthenia;Alzheimer's disease
Asthenia;coronary artery disease
Asthenia;hypertension
Asthenia;obesity
Asthenia;leprosy
Asthenia;hepatitis B
Asthenia;malaria
Asthenia;uterine fibroid
Asthenia;muscle cancer
Asthenia;malignant glioma
Asthenia;melanoma
Asthenia;retroperitoneal cancer
Asthenia;esophageal cancer
Asthenia;rectum cancer
Asthenia;stomach cancer
Asthenia;liver cancer
Asthenia;pancreatic cancer
Asthenia;ovarian cancer
Asthenia;head and neck cancer
Asthenia;larynx cancer
Asthenia;hematologic cancer
Asthenia;brain cancer
Asthenia;meningioma
Asthenia;spinal cancer
Asthenia;mediastinal cancer
Asthenia;thymus cancer
Asthenia;uterine cancer
Asthenia;prostate cancer
Asthenia;kidney cancer
Asthenia;ankylosing spondylitis
Asthenia;ulcerative colitis
Asthenia;Crohn's disease
Asthenia;asthma
Asthenia;chronic obstructive pulmonary disease
Asthenia;multiple sclerosis
Asthenia;Parkinson's disease
Asthenia;epilepsy syndrome
Asthenia;migraine
Asthenia;amyotrophic lateral sclerosis
Asthenia;restless legs syndrome
Asthenia;Graves' disease
Asthenia;chronic kidney failure
Asthenia;Kawasaki disease
Asthenia;anemia
Asthenia;systemic lupus erythematosus
Asthenia;alopecia areata
Asthenia;type 1 diabetes mellitus
Asthenia;hypothyroidism
Asthenia;panic disorder
Asthenia;bipolar disorder
Asthenia;endogenous depression
Asthenia;schizophrenia
Fever of Unknown Origin;acquired immunodeficiency syndrome
Fever of Unknown Origin;breast cancer
Fever of Unknown Origin;colon cancer
Fever of Unknown Origin;skin cancer
Fever of Unknown Origin;rheumatoid arthritis
Fever of Unknown Origin;coronary artery disease
Fever of Unknown Origin;systemic scleroderma
Fever of Unknown Origin;hepatitis B
Fever of Unknown Origin;malaria
Fever of Unknown Origin;uterine fibroid
Fever of Unknown Origin;melanoma
Fever of Unknown Origin;retroperitoneal cancer
Fever of Unknown Origin;esophageal cancer
Fever of Unknown Origin;rectum cancer
Fever of Unknown Origin;stomach cancer
Fever of Unknown Origin;liver cancer
Fever of Unknown Origin;ovarian cancer
Fever of Unknown Origin;head and neck cancer
Fever of Unknown Origin;hematologic cancer
Fever of Unknown Origin;brain cancer
Fever of Unknown Origin;meningioma
Fever of Unknown Origin;spinal cancer
Fever of Unknown Origin;mediastinal cancer
Fever of Unknown Origin;uterine cancer
Fever of Unknown Origin;prostate cancer
Fever of Unknown Origin;kidney cancer
Fever of Unknown Origin;ankylosing spondylitis
Fever of Unknown Origin;ulcerative colitis
Fever of Unknown Origin;Crohn's disease
Fever of Unknown Origin;asthma
Fever of Unknown Origin;multiple sclerosis
Fever of Unknown Origin;Parkinson's disease
Fever of Unknown Origin;epilepsy syndrome
Fever of Unknown Origin;Graves' disease
Fever of Unknown Origin;chronic kidney failure
Fever of Unknown Origin;Kawasaki disease
Fever of Unknown Origin;anemia
Fever of Unknown Origin;systemic lupus erythematosus
Fever of Unknown Origin;hypothyroidism
Fever of Unknown Origin;bipolar disorder
Fever of Unknown Origin;schizophrenia
Fever of Unknown Origin;malignant mesothelioma
Fever of Unknown Origin;gallbladder cancer
Fever of Unknown Origin;jejunal cancer
Fever of Unknown Origin;adrenal gland cancer
Fever of Unknown Origin;testicular cancer
Fever of Unknown Origin;ocular cancer
Fever of Unknown Origin;vascular cancer
Fever of Unknown Origin;urinary bladder cancer
Fever of Unknown Origin;gout
Fever of Unknown Origin;celiac disease
Fever of Unknown Origin;pancreatitis
Fever of Unknown Origin;Behcet's disease
Fever of Unknown Origin;idiopathic pulmonary fibrosis
Fever of Unknown Origin;intracranial aneurysm
Fever of Unknown Origin;abdominal aortic aneurysm
Fever of Unknown Origin;thoracic aortic aneurysm
Fever of Unknown Origin;autistic disorder
Fever of Unknown Origin;primary biliary cirrhosis
Fetal Macrosomia;breast cancer
Fetal Macrosomia;hypertension
Fetal Macrosomia;type 2 diabetes mellitus
Fetal Macrosomia;metabolic syndrome X
Fetal Macrosomia;obesity
Fetal Macrosomia;liver cancer
Fetal Macrosomia;brain cancer
Fetal Macrosomia;epilepsy syndrome
Fetal Macrosomia;anemia
Fetal Macrosomia;type 1 diabetes mellitus
Fetal Macrosomia;bipolar disorder
Fetal Macrosomia;polycystic ovary syndrome
Fetal Macrosomia;gestational diabetes
Fetal Macrosomia;autistic disorder
Emaciation;acquired immunodeficiency syndrome
Emaciation;osteoporosis
Emaciation;rheumatoid arthritis
Emaciation;hypertension
Emaciation;obesity
Emaciation;malignant glioma
Emaciation;stomach cancer
Emaciation;liver cancer
Emaciation;pancreatic cancer
Emaciation;brain cancer
Emaciation;kidney cancer
Emaciation;Crohn's disease
Emaciation;chronic obstructive pulmonary disease
Emaciation;multiple sclerosis
Emaciation;amyotrophic lateral sclerosis
Emaciation;chronic kidney failure
Emaciation;anemia
Emaciation;celiac disease
Emaciation;pancreatitis
Overweight;acquired immunodeficiency syndrome
Overweight;breast cancer
Overweight;colon cancer
Overweight;skin cancer
Overweight;osteoporosis
Overweight;rheumatoid arthritis
Overweight;Alzheimer's disease
Overweight;coronary artery disease
Overweight;atherosclerosis
Overweight;hypertension
Overweight;type 2 diabetes mellitus
Overweight;metabolic syndrome X
Overweight;obesity
Overweight;hepatitis B
Overweight;melanoma
Overweight;esophageal cancer
Overweight;rectum cancer
Overweight;stomach cancer
Overweight;liver cancer
Overweight;pancreatic cancer
Overweight;ovarian cancer
Overweight;hematologic cancer
Overweight;prostate cancer
Overweight;kidney cancer
Overweight;Crohn's disease
Overweight;asthma
Overweight;chronic obstructive pulmonary disease
Overweight;Parkinson's disease
Overweight;epilepsy syndrome
Overweight;migraine
Overweight;chronic kidney failure
Overweight;anemia
Overweight;type 1 diabetes mellitus
Overweight;hypothyroidism
Overweight;bipolar disorder
Overweight;endogenous depression
Overweight;schizophrenia
Overweight;polycystic ovary syndrome
Overweight;gallbladder cancer
Overweight;celiac disease
Overweight;pancreatitis
Overweight;periodontitis
Overweight;dental caries
Overweight;gestational diabetes
Overweight;abdominal aortic aneurysm
Overweight;atopic dermatitis
Overweight;attention deficit hyperactivity disorder
Overweight;autistic disorder
Overweight;narcolepsy
Overweight;Barrett's esophagus
Obesity, Morbid;breast cancer
Obesity, Morbid;colon cancer
Obesity, Morbid;skin cancer
Obesity, Morbid;osteoporosis
Obesity, Morbid;Alzheimer's disease
Obesity, Morbid;coronary artery disease
Obesity, Morbid;atherosclerosis
Obesity, Morbid;hypertension
Obesity, Morbid;type 2 diabetes mellitus
Obesity, Morbid;metabolic syndrome X
Obesity, Morbid;obesity
Obesity, Morbid;uterine fibroid
Obesity, Morbid;retroperitoneal cancer
Obesity, Morbid;esophageal cancer
Obesity, Morbid;rectum cancer
Obesity, Morbid;stomach cancer
Obesity, Morbid;liver cancer
Obesity, Morbid;pancreatic cancer
Obesity, Morbid;ovarian cancer
Obesity, Morbid;uterine cancer
Obesity, Morbid;prostate cancer
Obesity, Morbid;kidney cancer
Obesity, Morbid;ankylosing spondylitis
Obesity, Morbid;ulcerative colitis
Obesity, Morbid;Crohn's disease
Obesity, Morbid;asthma
Obesity, Morbid;chronic obstructive pulmonary disease
Obesity, Morbid;epilepsy syndrome
Obesity, Morbid;migraine
Obesity, Morbid;chronic kidney failure
Obesity, Morbid;anemia
Obesity, Morbid;systemic lupus erythematosus
Obesity, Morbid;type 1 diabetes mellitus
Obesity, Morbid;hypothyroidism
Obesity, Morbid;bipolar disorder
Obesity, Morbid;endogenous depression
Obesity, Morbid;schizophrenia
Obesity, Morbid;polycystic ovary syndrome
Obesity, Morbid;adrenal gland cancer
Obesity, Morbid;testicular cancer
Obesity, Morbid;vascular cancer
Obesity, Morbid;Paget's disease of bone
Obesity, Morbid;psoriatic arthritis
Obesity, Morbid;pancreatitis
Obesity, Morbid;intracranial aneurysm
Obesity, Morbid;membranous glomerulonephritis
Obesity, Morbid;focal segmental glomerulosclerosis
Obesity, Morbid;gestational diabetes
Obesity, Morbid;dilated cardiomyopathy
Obesity, Morbid;abdominal aortic aneurysm
Obesity, Morbid;thoracic aortic aneurysm
Obesity, Morbid;attention deficit hyperactivity disorder
Obesity, Morbid;narcolepsy
Obesity, Morbid;nephrolithiasis
Obesity, Morbid;Barrett's esophagus
Thinness;breast cancer
Thinness;colon cancer
Thinness;osteoporosis
Thinness;rheumatoid arthritis
Thinness;Alzheimer's disease
Thinness;coronary artery disease
Thinness;atherosclerosis
Thinness;hypertension
Thinness;type 2 diabetes mellitus
Thinness;metabolic syndrome X
Thinness;obesity
Thinness;malaria
Thinness;esophageal cancer
Thinness;stomach cancer
Thinness;head and neck cancer
Thinness;brain cancer
Thinness;prostate cancer
Thinness;ulcerative colitis
Thinness;Crohn's disease
Thinness;asthma
Thinness;chronic obstructive pulmonary disease
Thinness;Parkinson's disease
Thinness;chronic kidney failure
Thinness;anemia
Thinness;systemic lupus erythematosus
Thinness;type 1 diabetes mellitus
Thinness;hypothyroidism
Thinness;endogenous depression
Thinness;schizophrenia
Thinness;polycystic ovary syndrome
Thinness;celiac disease
Thinness;pancreatitis
Thinness;dental caries
Thinness;gestational diabetes
Thinness;dilated cardiomyopathy
Thinness;abdominal aortic aneurysm
Thinness;autistic disorder
Cardiac Output, Low;acquired immunodeficiency syndrome
Cardiac Output, Low;breast cancer
Cardiac Output, Low;skin cancer
Cardiac Output, Low;rheumatoid arthritis
Cardiac Output, Low;Alzheimer's disease
Cardiac Output, Low;coronary artery disease
Cardiac Output, Low;hypertension
Cardiac Output, Low;systemic scleroderma
Cardiac Output, Low;vitiligo
Cardiac Output, Low;type 2 diabetes mellitus
Cardiac Output, Low;metabolic syndrome X
Cardiac Output, Low;obesity
Cardiac Output, Low;ovarian cancer
Cardiac Output, Low;hematologic cancer
Cardiac Output, Low;mediastinal cancer
Cardiac Output, Low;uterine cancer
Cardiac Output, Low;prostate cancer
Cardiac Output, Low;kidney cancer
Cardiac Output, Low;Crohn's disease
Cardiac Output, Low;chronic obstructive pulmonary disease
Cardiac Output, Low;multiple sclerosis
Cardiac Output, Low;Parkinson's disease
Cardiac Output, Low;epilepsy syndrome
Cardiac Output, Low;Graves' disease
Cardiac Output, Low;chronic kidney failure
Cardiac Output, Low;Kawasaki disease
Cardiac Output, Low;anemia
Cardiac Output, Low;systemic lupus erythematosus
Cardiac Output, Low;type 1 diabetes mellitus
Cardiac Output, Low;hypothyroidism
Cardiac Output, Low;panic disorder
Cardiac Output, Low;endogenous depression
Cardiac Output, Low;schizophrenia
Cardiac Output, Low;adrenal gland cancer
Cardiac Output, Low;peripheral nervous system neoplasm
Cardiac Output, Low;pancreatitis
Cardiac Output, Low;intracranial aneurysm
Cardiac Output, Low;dilated cardiomyopathy
Cardiac Output, Low;abdominal aortic aneurysm
Cardiac Output, Low;thoracic aortic aneurysm
Hydrops Fetalis;skin cancer
Hydrops Fetalis;rheumatoid arthritis
Hydrops Fetalis;atherosclerosis
Hydrops Fetalis;hypertension
Hydrops Fetalis;hepatitis B
Hydrops Fetalis;retroperitoneal cancer
Hydrops Fetalis;liver cancer
Hydrops Fetalis;head and neck cancer
Hydrops Fetalis;brain cancer
Hydrops Fetalis;meningioma
Hydrops Fetalis;spinal cancer
Hydrops Fetalis;mediastinal cancer
Hydrops Fetalis;uterine cancer
Hydrops Fetalis;kidney cancer
Hydrops Fetalis;Graves' disease
Hydrops Fetalis;Kawasaki disease
Hydrops Fetalis;anemia
Hydrops Fetalis;systemic lupus erythematosus
Hydrops Fetalis;hypothyroidism
Hydrops Fetalis;germ cell cancer
Hydrops Fetalis;adrenal gland cancer
Hydrops Fetalis;intracranial aneurysm
Hydrops Fetalis;glaucoma
Hydrops Fetalis;thoracic aortic aneurysm
Eye Hemorrhage;acquired immunodeficiency syndrome
Eye Hemorrhage;coronary artery disease
Eye Hemorrhage;hypertension
Eye Hemorrhage;type 2 diabetes mellitus
Eye Hemorrhage;hepatitis B
Eye Hemorrhage;melanoma
Eye Hemorrhage;brain cancer
Eye Hemorrhage;kidney cancer
Eye Hemorrhage;ulcerative colitis
Eye Hemorrhage;chronic kidney failure
Eye Hemorrhage;type 1 diabetes mellitus
Eye Hemorrhage;ocular cancer
Eye Hemorrhage;Behcet's disease
Eye Hemorrhage;glaucoma
Eye Hemorrhage;age related macular degeneration
Eye Hemorrhage;refractive error
Fatigue;acquired immunodeficiency syndrome
Fatigue;breast cancer
Fatigue;colon cancer
Fatigue;skin cancer
Fatigue;osteoporosis
Fatigue;rheumatoid arthritis
Fatigue;Alzheimer's disease
Fatigue;coronary artery disease
Fatigue;atherosclerosis
Fatigue;hypertension
Fatigue;systemic scleroderma
Fatigue;vitiligo
Fatigue;type 2 diabetes mellitus
Fatigue;metabolic syndrome X
Fatigue;obesity
Fatigue;hepatitis B
Fatigue;malaria
Fatigue;uterine fibroid
Fatigue;muscle cancer
Fatigue;malignant glioma
Fatigue;melanoma
Fatigue;retroperitoneal cancer
Fatigue;esophageal cancer
Fatigue;rectum cancer
Fatigue;stomach cancer
Fatigue;liver cancer
Fatigue;pancreatic cancer
Fatigue;ovarian cancer
Fatigue;head and neck cancer
Fatigue;larynx cancer
Fatigue;hematologic cancer
Fatigue;brain cancer
Fatigue;mediastinal cancer
Fatigue;uterine cancer
Fatigue;prostate cancer
Fatigue;kidney cancer
Fatigue;ankylosing spondylitis
Fatigue;ulcerative colitis
Fatigue;Crohn's disease
Fatigue;asthma
